case_id,snap_benefits,general_health,height_in,income_130_pov,statistical_weight,num_children,income_185_pov,meal_preparer,grocery_shopper,secondary_eating_duration,secondary_drinking_duration,primary_eating_duration,secondary_drinking_day_prior,weight_lb,secondary_eating_day_prior,bmi,secondary_eating_all_day,secondary_drinking_all_day,activity_list,assisted_meals,year
20070101070044,0.0,3.0,65.0,,7519839.180415,1,1.0,1.0,1.0,10,0,50,0.0,163.0,1.0,27.1,0,0,6,,2007
20070101070048,0.0,3.0,64.0,2.0,17453556.255085,0,2.0,1.0,1.0,0,0,60,0.0,140.0,0.0,24.0,0,0,,,2007
20070101070051,0.0,4.0,59.0,,11243004.681753999,0,1.0,1.0,2.0,10,0,10,0.0,135.0,1.0,27.3,0,0,"8,13",,2007
20070101070052,1.0,2.0,67.0,2.0,25758210.458426002,2,2.0,1.0,1.0,0,0,90,0.0,280.0,0.0,43.8,0,0,,,2007
20070101070067,0.0,3.0,62.0,1.0,48386023.80475,1,2.0,3.0,2.0,5,0,135,0.0,,1.0,,0,0,14,1.0,2007
20070101070077,1.0,2.0,65.0,2.0,7041162.986044,0,2.0,1.0,1.0,60,485,0,1.0,175.0,1.0,29.1,0,0,"2,6,6,10,18,18",,2007
20070101070083,1.0,1.0,59.0,1.0,2995550.016821,0,2.0,1.0,3.0,120,60,0,1.0,180.0,1.0,36.4,0,0,"2,5",,2007
20070101070084,0.0,3.0,65.0,,5934685.845202,1,1.0,1.0,1.0,33,1,45,1.0,177.0,1.0,29.5,0,0,"9,11,11",,2007
20070101070088,0.0,2.0,58.0,2.0,27694724.499474,0,2.0,1.0,1.0,20,10,95,1.0,138.0,1.0,28.8,0,0,"8,12,12",,2007
20070101070502,0.0,3.0,63.0,2.0,9330588.505184,4,2.0,1.0,1.0,10,20,25,1.0,160.0,1.0,28.3,0,0,"2,11,12,13",4.0,2007
