TUCASEID,TUACTIVITY_N,EUEATSUM,EUEDUR,EUEDUR24
20160101160066,1,-1,-1,-1
20160101160066,2,-1,-1,-1
20160101160066,3,-1,-1,-1
20160101160066,4,-1,-1,-1
20160101160066,5,-1,-1,-1
20160101160066,6,-1,-1,-1
20160101160066,7,-1,-1,-1
20160101160066,8,-1,-1,-1
20160101160066,9,-1,-1,-1
20160101160066,10,1,15,15
20160101160066,11,-1,-1,-1
20160101160066,12,-1,-1,-1
20160101160066,13,-1,-1,-1
20160101160084,1,-1,-1,-1
20160101160084,2,1,2,2
20160101160084,3,-1,-1,-1
20160101160084,4,-1,-1,-1
20160101160084,5,-1,-1,-1
20160101160084,6,-1,-1,-1
20160101160084,7,-1,-1,-1
20160101160084,8,-1,-1,-1
20160101160084,9,-1,-1,-1
20160101160084,10,-1,-1,-1
20160101160084,11,-1,-1,-1
20160101160084,12,-1,-1,-1
20160101160084,13,-1,-1,-1
20160101160084,14,-1,-1,-1
20160101160084,15,-1,-1,-1
20160101160084,16,-1,-1,-1
20160101160084,17,-1,-1,-1
20160101160084,18,-1,-1,-1
20160101160084,19,-1,-1,-1
20160101160084,20,-1,-1,-1
20160101160084,21,-1,-1,-1
20160101160084,22,-1,-1,-1
20160101160084,23,-1,-1,-1
20160101160084,24,-1,-1,-1
20160101160084,25,-1,-1,-1
20160101160084,26,-1,-1,-1
20160101160084,27,1,15,15
20160101160084,28,-1,-1,-1
20160101160084,29,1,10,10
20160101160084,30,-1,-1,-1
20160101160084,31,-1,-1,-1
20160101160084,32,-1,-1,-1
20160101160084,33,-1,-1,-1
20160101160084,34,-1,-1,-1
20160101160094,1,-1,-1,-1
20160101160094,2,-1,-1,-1
20160101160094,3,-1,-1,-1
20160101160094,4,-1,-1,-1
20160101160094,5,-1,-1,-1
20160101160094,6,-1,-1,-1
20160101160094,7,-1,-1,-1
20160101160094,8,-1,-1,-1
20160101160094,9,-1,-1,-1
20160101160094,10,-1,-1,-1
20160101160094,11,-1,-1,-1
20160101160094,12,-1,-1,-1
20160101160094,13,-1,-1,-1
20160101160094,14,1,9,9
20160101160094,15,-1,-1,-1
20160101160094,16,-1,-1,-1
20160101160094,17,-1,-1,-1
20160101160094,18,-1,-1,-1
20160101160094,19,-1,-1,-1
20160101160094,20,-1,-1,-1
20160101160094,21,-1,-1,-1
20160101160094,22,-1,-1,-1
20160101160094,23,-1,-1,-1
20160101160094,24,-1,-1,-1
20160101160094,25,-1,-1,-1
20160101160094,26,-1,-1,-1
20160101160094,27,-1,-1,-1
20160101160533,1,-1,-1,-1
20160101160533,2,-1,-1,-1
20160101160533,3,-1,-1,-1
20160101160533,4,-1,-1,-1
