TUCASEID,TULINENO,EXLCH,EELCH,EEBRK,EXBRK
20060101060014,2,0,2,2,0
20060101060014,3,0,1,2,0
20060101060033,3,0,1,1,0
20060101060033,4,0,2,2,0
20060101060057,3,0,1,2,0
20060101060057,4,0,1,2,0
20060101060057,5,0,1,2,0
20060101060057,6,0,1,2,0
20060101060067,1,0,2,2,0
20060101060067,4,0,1,2,0
20060101060092,3,0,1,1,0
20060101060092,4,0,2,2,0
20060101060108,2,0,1,1,0
20060101060108,3,0,1,1,0
20060101060108,4,0,1,1,0
20060101060108,5,0,1,1,0
20060101060500,4,0,1,2,0
20060101060534,2,0,1,2,0
20060101060545,3,0,1,1,0
20060101060545,4,0,2,2,0
20060101060578,3,0,1,2,0
20060101060578,4,0,1,1,0
20060101060578,5,0,1,2,0
20060101060578,6,0,2,2,0
20060101060581,3,0,1,1,0
20060101060581,4,0,1,1,0
20060101060627,4,0,1,1,0
20060101060627,5,0,1,1,0
20060101060630,1,0,1,1,0
20060101060641,3,0,1,2,0
20060101060641,4,0,1,2,0
20060101060713,1,0,1,2,0
20060101060713,4,0,1,2,0
20060101060714,3,0,1,2,0
20060101060714,9,0,2,2,0
20060101060749,3,0,2,2,0
20060101060749,4,0,1,2,0
20060101060753,3,0,1,2,0
20060101060753,4,0,1,1,0
20060101060753,5,0,1,1,0
20060101060753,6,0,2,2,0
20060101060768,1,0,1,2,0
20060101060809,3,10,2,2,10
20060101060809,4,0,1,1,0
20060101060809,5,0,1,2,0
20060101060825,3,0,1,2,0
20060101060848,3,0,1,2,0
20060101060848,4,0,1,2,0
20060101060848,5,0,1,2,0
20060101060851,3,0,1,1,0
20060101060857,3,0,1,2,0
20060101060857,4,0,2,2,0
20060101060857,5,0,2,2,0
20060101060857,6,0,2,2,0
20060101060914,3,0,1,2,0
20060101060914,4,0,1,2,0
20060101060914,5,0,1,2,0
20060101060914,6,0,1,2,0
20060101060939,4,0,1,1,0
20060101060995,1,0,1,2,0
20060101061012,1,0,1,2,0
20060101061012,3,0,1,2,0
20060101061036,3,0,1,2,0
20060101061036,4,0,1,2,0
20060101061048,3,0,1,2,0
20060101061054,4,0,1,2,0
20060101061054,5,0,1,2,0
20060101061082,3,0,1,2,0
20060101061082,4,0,1,2,0
20060101061104,3,0,1,1,0
20060101061164,2,0,1,2,0
20060101061174,3,0,1,1,0
20060101061174,4,0,2,2,0
20060101061174,5,0,2,2,0
20060101061203,3,0,1,2,0
20060101061203,4,0,1,2,0
20060101061211,3,0,1,1,0
20060101061211,5,0,1,1,0
20060101061220,3,0,1,1,0
20060101061220,4,0,2,2,0
20060101061232,4,0,1,1,0
20060101061232,5,0,1,1,0
20060101061275,3,0,1,1,0
20060101061275,4,0,1,1,0
20060101061360,3,0,1,1,0
20060101061360,4,0,1,1,0
20060101061362,3,0,1,1,0
20060101061368,3,0,1,2,0
20060101061380,3,0,1,1,0
20060101061380,4,0,1,1,0
20060101061380,5,0,1,1,0
20060101061394,3,0,1,2,0
20060101061394,4,0,1,2,0
20060101061394,5,0,2,2,0
20060101061394,6,0,2,2,0
20060101061406,2,0,1,2,0
20060101061423,3,0,1,1,0
20060101061423,5,0,1,1,0
20060101061438,3,0,1,2,0
20060101061438,6,0,1,2,0
20060101061456,3,0,1,2,0
20060101061472,2,0,2,2,0
20060101061472,3,0,1,2,0
20060101061527,2,0,1,2,0
20060101061527,3,0,1,2,0
20060101061552,3,0,1,2,0
20060101061552,4,0,1,2,0
20060101061552,5,0,2,2,0
20060101061555,3,0,1,2,0
20060101061555,4,0,1,2,0
20060101061596,3,0,1,2,0
20060101061596,4,0,1,2,0
20060101061597,2,0,1,1,0
20060101061597,3,0,1,1,0
20060101061614,3,0,1,2,0
20060101061614,4,0,1,2,0
20060101061636,1,0,1,2,0
20060101061636,4,0,1,2,0
20060101061658,2,0,1,2,0
20060101061665,1,0,2,1,0
20060101061665,3,0,2,2,0
20060101061665,4,0,2,2,0
20060101061665,5,0,2,2,0
20060101061706,4,0,1,2,0
20060101061729,3,0,1,2,0
20060101061729,4,0,1,2,0
20060101061740,3,0,1,2,0
20060101061740,4,0,2,2,0
20060101061805,3,0,1,2,0
20060101061805,4,0,1,2,0
20060101061805,5,0,1,2,0
20060101061809,1,0,2,2,0
20060101061809,4,0,1,2,0
20060101061809,5,0,1,2,0
20060101061815,1,0,1,2,0
20060101061821,3,0,1,2,0
20060101061821,4,0,2,2,0
20060101061821,5,0,2,2,0
20060101061825,3,0,1,2,0
20060101061845,2,0,1,1,0
20060101061845,3,0,2,1,0
20060101061920,3,0,1,2,0
20060101061920,4,0,1,2,0
20060101061924,3,0,1,2,0
20060101061924,4,0,1,2,0
20060101061924,5,0,1,2,0
20060101061924,6,0,1,2,0
20060101061927,3,0,1,2,0
20060101061927,4,0,2,2,0
20060101061928,2,0,1,2,0
20060101061928,3,0,1,2,0
20060101061935,3,0,1,2,0
20060101061971,1,0,1,2,0
20060101061971,3,0,1,2,0
20060101061971,4,0,1,2,0
20060101061973,2,0,1,2,0
20060101062008,3,0,1,2,0
20060101062008,4,0,1,2,0
20060101062027,3,0,1,2,0
20060101062083,4,0,1,2,0
20060101062110,3,0,1,2,0
20060101062110,4,0,1,2,0
20060101062116,3,0,1,2,0
20060101062116,4,0,1,2,0
20060101062116,5,0,2,2,0
20060101062165,3,0,1,2,0
20060101062165,4,0,1,2,0
20060101062165,5,0,1,2,0
20060101062180,3,0,1,1,0
20060101062231,7,0,1,2,0
20060101062231,8,0,1,2,0
20060101062239,2,0,2,2,0
20060101062239,3,0,1,2,0
20060101062239,5,0,2,2,0
20060101062244,1,0,2,2,0
20060101062244,4,0,2,2,0
20060101062244,5,0,2,2,0
20060101062244,6,0,1,2,0
20060101062244,7,0,1,2,0
20060101062275,2,0,1,2,0
20060101062277,3,0,1,1,0
20060101062277,4,0,1,1,0
20060101062305,1,0,1,2,0
20060101062305,5,0,1,2,0
20060101062324,3,0,2,2,0
20060101062324,4,0,2,2,0
20060101062324,5,0,1,2,0
20060101062345,3,0,1,1,0
20060101062350,2,0,1,2,0
20060101062350,3,0,1,2,0
20060101062366,3,0,1,1,0
20060101062388,3,0,1,1,0
20060101062409,2,0,1,2,0
20060101062409,3,0,1,2,0
